task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
122	c1/9ad8fd	3644068	pipeline:assign_features_with_stringtie:stringtie (111)	COMPLETED	0	2025-08-06 12:38:07.427	614ms	108ms	26.0%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
125	36/a3baf1	3644252	pipeline:assign_features_with_stringtie:stringtie (114)	COMPLETED	0	2025-08-06 12:38:08.048	681ms	159ms	14.6%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
120	aa/a33e30	3644461	pipeline:assign_features_with_stringtie:stringtie (109)	COMPLETED	0	2025-08-06 12:38:08.737	687ms	120ms	17.6%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
115	c0/eaf85b	3644670	pipeline:assign_features_with_stringtie:stringtie (104)	COMPLETED	0	2025-08-06 12:38:09.430	2.2s	1.3s	2.9%	4 MB	37.2 MB	1.4 MB	49.4 KB
128	c3/7993d8	3644933	pipeline:assign_features_with_stringtie:stringtie (117)	COMPLETED	0	2025-08-06 12:38:11.672	4.1s	2.8s	1.0%	4 MB	37.2 MB	1.4 MB	49.3 KB
127	bc/3edd26	3645225	pipeline:assign_features_with_stringtie:stringtie (116)	COMPLETED	0	2025-08-06 12:38:15.746	1.5s	152ms	14.8%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
134	c9/b76c9c	3645442	pipeline:assign_features_with_stringtie:stringtie (123)	COMPLETED	0	2025-08-06 12:38:17.277	896ms	113ms	24.6%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
133	c5/358fa3	3645654	pipeline:assign_features_with_stringtie:stringtie (122)	COMPLETED	0	2025-08-06 12:38:18.179	1.5s	753ms	3.8%	4 MB	37.2 MB	1.4 MB	49.3 KB
129	a6/becc39	3645863	pipeline:assign_features_with_stringtie:stringtie (118)	COMPLETED	0	2025-08-06 12:38:19.700	1.7s	129ms	22.4%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
132	2e/d6fc10	3646073	pipeline:assign_features_with_stringtie:stringtie (121)	COMPLETED	0	2025-08-06 12:38:21.402	2.6s	128ms	17.2%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
126	27/c69e63	3646285	pipeline:assign_features_with_stringtie:stringtie (115)	COMPLETED	0	2025-08-06 12:38:24.019	2.6s	284ms	15.2%	7.5 MB	44 MB	58.6 MB	136.4 KB
130	12/b2b03d	3646497	pipeline:assign_features_with_stringtie:stringtie (119)	COMPLETED	0	2025-08-06 12:38:26.651	1.4s	128ms	17.3%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
124	59/6e2da9	3646704	pipeline:assign_features_with_stringtie:stringtie (113)	COMPLETED	0	2025-08-06 12:38:28.041	1.8s	1.3s	2.2%	4 MB	37.2 MB	1.4 MB	49.4 KB
131	5b/267a85	3646941	pipeline:assign_features_with_stringtie:stringtie (120)	COMPLETED	0	2025-08-06 12:38:29.850	710ms	117ms	18.2%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
135	9e/e5e76a	3647151	pipeline:assign_features_with_stringtie:stringtie (124)	COMPLETED	0	2025-08-06 12:38:30.566	798ms	132ms	16.3%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
138	33/a295e3	3647359	pipeline:assign_features_with_stringtie:stringtie (127)	COMPLETED	0	2025-08-06 12:38:31.370	698ms	133ms	16.5%	2.7 MB	3.8 MB	1.5 MB	62.8 KB
139	b6/877d5d	3647569	pipeline:assign_features_with_stringtie:stringtie (128)	COMPLETED	0	2025-08-06 12:38:32.074	989ms	115ms	18.2%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
140	b0/18026e	3647778	pipeline:assign_features_with_stringtie:stringtie (129)	COMPLETED	0	2025-08-06 12:38:33.069	1.2s	151ms	19.8%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
142	f6/fb3eb8	3648092	pipeline:assign_features_with_stringtie:stringtie (131)	COMPLETED	0	2025-08-06 12:38:34.250	904ms	129ms	22.4%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
136	a8/e61ac1	3648301	pipeline:assign_features_with_stringtie:stringtie (125)	COMPLETED	0	2025-08-06 12:38:35.160	1.6s	365ms	7.3%	4 MB	37.2 MB	1.4 MB	49.3 KB
137	c9/30d2dc	3648615	pipeline:assign_features_with_stringtie:stringtie (126)	COMPLETED	0	2025-08-06 12:38:36.786	758ms	123ms	28.4%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
147	4c/5ea8bd	3648823	pipeline:assign_features_with_stringtie:stringtie (136)	COMPLETED	0	2025-08-06 12:38:37.550	655ms	130ms	16.8%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
146	33/a94a40	3649033	pipeline:assign_features_with_stringtie:stringtie (135)	COMPLETED	0	2025-08-06 12:38:38.211	660ms	119ms	23.6%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
149	12/2a2db2	3649243	pipeline:assign_features_with_stringtie:stringtie (138)	COMPLETED	0	2025-08-06 12:38:38.877	1.1s	121ms	18.0%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
148	ba/d8b040	3649554	pipeline:assign_features_with_stringtie:stringtie (137)	COMPLETED	0	2025-08-06 12:38:39.949	2.5s	1.4s	2.8%	4 MB	37.2 MB	1.4 MB	49.3 KB
144	b8/e4b080	3649820	pipeline:assign_features_with_stringtie:stringtie (133)	COMPLETED	0	2025-08-06 12:38:42.465	778ms	124ms	17.3%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
150	0c/e84fdc	3650031	pipeline:assign_features_with_stringtie:stringtie (139)	COMPLETED	0	2025-08-06 12:38:43.250	676ms	165ms	13.8%	4 MB	37.2 MB	1.4 MB	49.3 KB
152	60/86f013	3650238	pipeline:assign_features_with_stringtie:stringtie (141)	COMPLETED	0	2025-08-06 12:38:43.933	973ms	138ms	16.2%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
157	dd/74c1b6	3650449	pipeline:assign_features_with_stringtie:stringtie (146)	COMPLETED	0	2025-08-06 12:38:44.914	645ms	122ms	23.4%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
145	62/834702	3650661	pipeline:assign_features_with_stringtie:stringtie (134)	COMPLETED	0	2025-08-06 12:38:45.566	662ms	108ms	19.1%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
159	35/08def0	3650868	pipeline:assign_features_with_stringtie:stringtie (148)	COMPLETED	0	2025-08-06 12:38:46.234	934ms	302ms	11.5%	4 MB	37.2 MB	1.4 MB	49.3 KB
143	6b/51c2c3	3651077	pipeline:assign_features_with_stringtie:stringtie (132)	COMPLETED	0	2025-08-06 12:38:47.174	913ms	129ms	16.7%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
141	83/f4d42b	3651390	pipeline:assign_features_with_stringtie:stringtie (130)	COMPLETED	0	2025-08-06 12:38:48.093	893ms	386ms	9.2%	4 MB	37.2 MB	1.4 MB	49.3 KB
155	68/8631e9	3651597	pipeline:assign_features_with_stringtie:stringtie (144)	COMPLETED	0	2025-08-06 12:38:48.994	1.7s	259ms	9.9%	4 MB	37.2 MB	1.4 MB	49.3 KB
153	97/876e7a	3651806	pipeline:assign_features_with_stringtie:stringtie (142)	COMPLETED	0	2025-08-06 12:38:50.681	1.3s	130ms	22.2%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
160	bf/fa64c2	3652015	pipeline:assign_features_with_stringtie:stringtie (149)	COMPLETED	0	2025-08-06 12:38:52.028	1.1s	134ms	16.3%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
162	31/07f888	3652330	pipeline:assign_features_with_stringtie:stringtie (151)	COMPLETED	0	2025-08-06 12:38:53.115	2.3s	478ms	7.6%	4 MB	37.2 MB	1.4 MB	49.3 KB
158	0f/91777d	3652566	pipeline:assign_features_with_stringtie:stringtie (147)	COMPLETED	0	2025-08-06 12:38:55.401	1.3s	134ms	16.2%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
165	e9/e90db3	3652776	pipeline:assign_features_with_stringtie:stringtie (154)	COMPLETED	0	2025-08-06 12:38:56.735	2s	1.4s	2.0%	4 MB	37.2 MB	1.4 MB	49.3 KB
163	3f/6963c3	3653144	pipeline:assign_features_with_stringtie:stringtie (152)	COMPLETED	0	2025-08-06 12:38:58.748	776ms	122ms	17.5%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
154	fa/e19d2a	3653354	pipeline:assign_features_with_stringtie:stringtie (143)	COMPLETED	0	2025-08-06 12:38:59.530	4.1s	3.2s	0.9%	4 MB	37.2 MB	1.4 MB	49.3 KB
164	9e/bfab3a	3653675	pipeline:assign_features_with_stringtie:stringtie (153)	COMPLETED	0	2025-08-06 12:39:03.595	2.6s	120ms	17.6%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
