task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
535	6f/955447	4109981	pipeline:assign_features_with_stringtie:align_to_transcriptome (144)	COMPLETED	0	2025-08-06 13:24:43.935	893ms	212ms	11.2%	8.5 MB	2.5 GB	124.1 KB	1.5 KB
536	0f/917f03	4110352	pipeline:assign_features_with_stringtie:align_to_transcriptome (145)	COMPLETED	0	2025-08-06 13:24:44.834	875ms	233ms	10.5%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
537	b5/c53fb4	4110790	pipeline:assign_features_with_stringtie:align_to_transcriptome (146)	COMPLETED	0	2025-08-06 13:24:45.714	712ms	99ms	12.9%	2.7 MB	3.8 MB	129.2 KB	4.9 KB
851	44/20e483	4107674	pipeline:process_bams:create_matrix (44)	COMPLETED	0	2025-08-06 13:24:39.484	7.4s	6.8s	67.5%	198.3 MB	2 GB	30.9 MB	10.5 KB
853	ed/3de420	4109518	pipeline:assign_features_with_stringtie:assign_features (50)	COMPLETED	0	2025-08-06 13:24:43.361	3.8s	3.2s	77.1%	106.8 MB	1.9 GB	15.7 MB	1.4 KB
538	d1/6295ab	4111223	pipeline:assign_features_with_stringtie:align_to_transcriptome (147)	COMPLETED	0	2025-08-06 13:24:46.432	758ms	104ms	25.9%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
539	83/b94803	4111566	pipeline:assign_features_with_stringtie:align_to_transcriptome (148)	COMPLETED	0	2025-08-06 13:24:47.195	906ms	87ms	28.0%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
852	f1/bcde73	4108887	pipeline:process_bams:create_matrix (45)	COMPLETED	0	2025-08-06 13:24:41.947	7.1s	6.4s	74.5%	209.6 MB	2.1 GB	30.9 MB	10 KB
540	a4/fa5818	4112117	pipeline:assign_features_with_stringtie:align_to_transcriptome (149)	COMPLETED	0	2025-08-06 13:24:48.106	918ms	113ms	11.4%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
541	e8/56824b	4112556	pipeline:assign_features_with_stringtie:align_to_transcriptome (150)	COMPLETED	0	2025-08-06 13:24:49.030	989ms	161ms	17.5%	0	0	124.1 KB	1.5 KB
542	54/9c6627	4113009	pipeline:assign_features_with_stringtie:align_to_transcriptome (151)	COMPLETED	0	2025-08-06 13:24:50.025	759ms	107ms	19.0%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
543	4e/559919	4113277	pipeline:assign_features_with_stringtie:align_to_transcriptome (152)	COMPLETED	0	2025-08-06 13:24:50.797	1s	172ms	8.9%	8.6 MB	2.5 GB	124.1 KB	1.5 KB
854	7b/04c3e6	4110154	pipeline:process_bams:create_matrix (46)	COMPLETED	0	2025-08-06 13:24:44.527	7.4s	6.6s	71.2%	208.7 MB	2.1 GB	30.9 MB	11.5 KB
544	2c/93e200	4113731	pipeline:assign_features_with_stringtie:align_to_transcriptome (153)	COMPLETED	0	2025-08-06 13:24:51.975	757ms	104ms	19.4%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
855	79/8fe319	4111402	pipeline:process_bams:create_matrix (47)	COMPLETED	0	2025-08-06 13:24:46.932	6.9s	6.1s	76.9%	182.6 MB	1.9 GB	30.9 MB	8.5 KB
